"","GOLDUSD","GOLDZAR","JH.ALSI40","JSE.BANK","JSE.COAL","JSE.CONS","JSE.FINI","JSE.FOOD","JSE.GOLD","JSE.HEAL","JSE.INDI","JSE.INDM","JSE.METL","JSE.OILG","JSE.PHAR","JSE.PLAT","JSE.TECH","JSE.TELE","JSEZARESI","PALLADUSD","PALLADZAR","PLATUSD","PLATZAR","SILVUSD","SILVZAR","USDZAR","ZARUSD"
"2020-03-20",38,46,21,8,14,23,9,35,32,30,33,28,20,42,37,NA,38,11,12,21,31,11,21,20,29,49,43
"2020-03-23",39,50,20,6,12,18,6,40,39,20,32,24,17,43,34,2,42,5,14,22,35,14,25,21,33,51,38
"2020-03-24",38,43,23,7,18,18,5,36,47,16,30,25,28,29,25,9,43,3,24,20,32,13,23,30,41,43,33
"2020-03-25",37,40,24,4,24,17,4,35,49,16,31,25,30,24,22,22,42,4,26,34,42,13,24,21,30,36,26
"2020-03-26",33,38,27,7,21,18,8,35,49,14,31,26,25,22,19,24,44,7,26,35,44,18,29,22,31,28,21
"2020-03-27",37,40,21,3,22,14,5,27,41,16,27,18,28,20,20,19,40,9,24,39,48,22,39,27,41,31,24
"2020-03-30",34,41,22,2,25,14,4,26,41,15,29,19,29,18,17,18,42,12,26,39,48,23,39,25,36,33,25
"2020-03-31",34,39,25,5,26,14,9,29,32,15,30,15,30,18,15,19,43,27,24,39,48,21,33,23,34,34,21
"2020-04-01",32,42,25,6,29,14,9,27,25,21,29,12,29,18,17,13,40,20,24,41,49,24,37,24,39,36,20
"2020-04-02",23,36,25,3,31,10,8,26,33,21,28,22,30,15,17,19,38,26,24,41,50,14,32,25,41,30,34
"2020-04-03",27,47,23,2,30,9,4,22,39,19,26,24,29,20,19,17,35,25,25,34,50,18,40,23,44,33,18
"2020-04-06",23,36,27,12,31,11,14,19,41,15,30,31,30,31,17,26,37,28,28,27,44,8,28,21,41,29,17
"2020-04-07",26,33,26,21,31,12,20,19,37,19,27,33,30,30,34,27,32,27,30,21,29,11,26,24,35,27,15
"2020-04-08",26,35,28,14,28,14,14,18,33,21,25,32,32,38,37,27,28,19,29,21,28,12,31,28,41,28,15
"2020-04-14",29,35,31,21,20,19,21,23,49,18,27,31,30,7,38,28,29,19,31,20,27,8,23,24,38,27,29
"2020-04-15",40,48,29,8,26,19,10,21,49,14,30,19,23,6,38,28,38,6,32,21,31,17,37,27,42,24,19
"2020-04-16",34,48,24,2,24,14,5,23,50,23,32,25,22,6,38,27,43,8,29,22,31,23,41,21,40,31,16
